k,alpha,beta,size,edge_num,ngil,nsil,num_of_clusters,time,method,seed
2,1.0,0.0,100,362,0.103,0.0,50,0.3613,Classification_Metric,4
2,1.0,0.0,300,6084,0.0931,0.0001,150,8.7417,Classification_Metric,4
2,1.0,0.0,500,36254,0.0804,0.0,250,90.9378,Classification_Metric,4
2,1.0,0.5,100,362,0.1043,0.0,50,0.3661,Classification_Metric,4
2,1.0,0.5,300,6084,0.084,0.0001,150,8.6629,Classification_Metric,4
2,1.0,0.5,500,36254,0.0886,0.0,250,82.4827,Classification_Metric,4
2,0.5,1.0,100,362,0.1043,0.0,50,0.3514,Classification_Metric,4
2,0.5,1.0,300,6084,0.084,0.0001,150,8.7251,Classification_Metric,4
2,0.5,1.0,500,36254,0.0886,0.0,250,82.4754,Classification_Metric,4
2,0.5,0.5,100,362,0.1043,0.0,50,0.334,Classification_Metric,4
2,0.5,0.5,300,6084,0.084,0.0001,150,8.8852,Classification_Metric,4
2,0.5,0.5,500,36254,0.0886,0.0,250,83.3544,Classification_Metric,4
2,1.0,1.0,100,362,0.1043,0.0,50,0.3305,Classification_Metric,4
2,1.0,1.0,300,6084,0.084,0.0001,150,8.6621,Classification_Metric,4
2,1.0,1.0,500,36254,0.0886,0.0,250,82.4472,Classification_Metric,4
4,1.0,0.0,100,362,0.1885,0.009,25,0.7344,Classification_Metric,4
4,1.0,0.0,300,6084,0.1998,0.0029,75,24.4186,Classification_Metric,4
4,1.0,0.0,500,36254,0.1714,0.0028,125,244.6048,Classification_Metric,4
4,1.0,0.5,100,362,0.2094,0.0102,25,0.6751,Classification_Metric,4
4,1.0,0.5,300,6084,0.1878,0.0025,75,23.6028,Classification_Metric,4
4,1.0,0.5,500,36254,0.1795,0.0023,125,241.4416,Classification_Metric,4
4,0.5,1.0,100,362,0.2094,0.0102,25,0.6961,Classification_Metric,4
4,0.5,1.0,300,6084,0.1878,0.0025,75,23.5569,Classification_Metric,4
4,0.5,1.0,500,36254,0.1797,0.0016,125,236.0526,Classification_Metric,4
4,0.5,0.5,100,362,0.2094,0.0102,25,0.7223,Classification_Metric,4
4,0.5,0.5,300,6084,0.1878,0.0025,75,23.5142,Classification_Metric,4
4,0.5,0.5,500,36254,0.1794,0.0022,125,239.4564,Classification_Metric,4
4,1.0,1.0,100,362,0.2094,0.0102,25,0.6867,Classification_Metric,4
4,1.0,1.0,300,6084,0.1878,0.0025,75,23.4293,Classification_Metric,4
4,1.0,1.0,500,36254,0.1794,0.0022,125,245.0977,Classification_Metric,4
6,1.0,0.0,100,362,0.4196,0.0448,16,1.311,Classification_Metric,4
6,1.0,0.0,300,6084,0.2696,0.0077,50,36.3655,Classification_Metric,4
6,1.0,0.0,500,36254,0.2316,0.0082,83,378.3586,Classification_Metric,4
6,1.0,0.5,100,362,0.4164,0.0421,16,1.3668,Classification_Metric,4
6,1.0,0.5,300,6084,0.2833,0.0083,50,36.9985,Classification_Metric,4
6,1.0,0.5,500,36254,0.2341,0.0085,83,397.9446,Classification_Metric,4
6,0.5,1.0,100,362,0.4164,0.0425,16,1.2898,Classification_Metric,4
