k,alpha,beta,size,edge_num,ngil,nsil,num_of_clusters,time,method,vertex_degree
2,0.0,0.5,9,20,0.5684,0.0,4,0.0209,SaNGreeA,0
2,0.0,1.0,9,20,0.5684,0.0,4,0.0068,SaNGreeA,0
2,0.5,0.0,9,20,0.4031,0.3704,4,0.0094,SaNGreeA,0
2,0.5,0.5,9,20,0.4858,0.0,4,0.0096,SaNGreeA,0
2,0.5,1.0,9,20,0.4858,0.0,4,0.0095,SaNGreeA,0
2,1.0,0.0,9,20,0.4031,0.3704,4,0.0093,SaNGreeA,0
2,1.0,0.5,9,20,0.3077,0.0741,4,0.0089,SaNGreeA,0
2,1.0,1.0,9,20,0.4858,0.0,4,0.0088,SaNGreeA,0
3,0.0,0.5,9,20,0.5299,0.321,3,0.0043,SaNGreeA,0
3,0.0,1.0,9,20,0.5299,0.321,3,0.0043,SaNGreeA,0
3,0.5,0.0,9,20,0.2863,0.4691,3,0.0087,SaNGreeA,0
3,0.5,0.5,9,20,0.5726,0.4198,3,0.0087,SaNGreeA,0
3,0.5,1.0,9,20,0.5726,0.4198,3,0.0087,SaNGreeA,0
3,1.0,0.0,9,20,0.2863,0.4691,3,0.0087,SaNGreeA,0
3,1.0,0.5,9,20,0.2863,0.4691,3,0.0087,SaNGreeA,0
3,1.0,1.0,9,20,0.5726,0.4198,3,0.0087,SaNGreeA,0
4,0.0,0.5,9,20,0.802,0.6148,2,0.0057,SaNGreeA,0
4,0.0,1.0,9,20,0.802,0.6148,2,0.0058,SaNGreeA,0
4,0.5,0.0,9,20,0.8746,0.7759,2,0.0118,SaNGreeA,0
4,0.5,0.5,9,20,0.5171,0.6148,2,0.0117,SaNGreeA,0
4,0.5,1.0,9,20,0.5171,0.6148,2,0.0117,SaNGreeA,0
4,1.0,0.0,9,20,0.8746,0.7759,2,0.0118,SaNGreeA,0
4,1.0,0.5,9,20,0.9031,0.7926,2,0.0115,SaNGreeA,0
4,1.0,1.0,9,20,0.5171,0.6148,2,0.0112,SaNGreeA,0
5,0.0,0.5,9,20,1.0,0.8025,1,0.0104,SaNGreeA,0
5,0.0,1.0,9,20,1.0,0.8025,1,0.0103,SaNGreeA,0
5,0.5,0.0,9,20,1.0,0.8025,1,0.0151,SaNGreeA,0
5,0.5,0.5,9,20,1.0,0.8025,1,0.0152,SaNGreeA,0
5,0.5,1.0,9,20,1.0,0.8025,1,0.0151,SaNGreeA,0
5,1.0,0.0,9,20,1.0,0.8025,1,0.0146,SaNGreeA,0
5,1.0,0.5,9,20,1.0,0.8025,1,0.0146,SaNGreeA,0
5,1.0,1.0,9,20,1.0,0.8025,1,0.0155,SaNGreeA,0
6,0.0,0.5,9,20,1.0,0.8025,1,0.0095,SaNGreeA,0
6,0.0,1.0,9,20,1.0,0.8025,1,0.0099,SaNGreeA,0
6,0.5,0.0,9,20,1.0,0.8025,1,0.0153,SaNGreeA,0
6,0.5,0.5,9,20,1.0,0.8025,1,0.0154,SaNGreeA,0
6,0.5,1.0,9,20,1.0,0.8025,1,0.0153,SaNGreeA,0
6,1.0,0.0,9,20,1.0,0.8025,1,0.0152,SaNGreeA,0
6,1.0,0.5,9,20,1.0,0.8025,1,0.0148,SaNGreeA,0
6,1.0,1.0,9,20,1.0,0.8025,1,0.0149,SaNGreeA,0
10,0.0,0.5,9,20,0.0,0.0,0,0.0045,SaNGreeA,0
10,0.0,1.0,9,20,0.0,0.0,0,0.0044,SaNGreeA,0
10,0.5,0.0,9,20,0.0,0.0,0,0.011,SaNGreeA,0
10,0.5,0.5,9,20,0.0,0.0,0,0.011,SaNGreeA,0
10,0.5,1.0,9,20,0.0,0.0,0,0.0109,SaNGreeA,0
10,1.0,0.0,9,20,0.0,0.0,0,0.0106,SaNGreeA,0
10,1.0,0.5,9,20,0.0,0.0,0,0.011,SaNGreeA,0
10,1.0,1.0,9,20,0.0,0.0,0,0.0122,SaNGreeA,0
